COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
41,HUILA,41551,PITALITO,CEREALES,MAIZ,MAIZ,2006,2006B,900.0,900.0,3546,3.94,3.94,GRANO SECO,TRANSITORIO
41,HUILA,41298,GARZON,CEREALES,MAIZ,MAIZ,2006,2006B,745.0,745.0,2816,3.78,3.78,GRANO SECO,TRANSITORIO
41,HUILA,41396,LA PLATA,CEREALES,MAIZ,MAIZ,2006,2006B,610.0,610.0,2257,3.7,3.7,GRANO SECO,TRANSITORIO
41,HUILA,41306,GIGANTE,CEREALES,MAIZ,MAIZ,2006,2006B,550.0,550.0,1952,3.55,3.55,GRANO SECO,TRANSITORIO
41,HUILA,416,ACEVEDO,CEREALES,MAIZ,MAIZ,2006,2006B,362.0,362.0,1375,3.8,3.8,GRANO SECO,TRANSITORIO
41,HUILA,41668,SAN AGUSTIN,CEREALES,MAIZ,MAIZ,2006,2006B,360.0,360.0,1126,3.13,3.13,GRANO SECO,TRANSITORIO
41,HUILA,41807,TIMANA,CEREALES,MAIZ,MAIZ,2006,2006B,180.0,180.0,630,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4113,AGRADO,CEREALES,MAIZ,MAIZ,2006,2006B,170.0,170.0,561,3.3,3.3,GRANO SECO,TRANSITORIO
41,HUILA,412,ALGECIRAS,CEREALES,MAIZ,MAIZ,2006,2006B,150.0,150.0,645,4.3,4.3,GRANO SECO,TRANSITORIO
41,HUILA,411,NEIVA,CEREALES,MAIZ,MAIZ,2006,2006B,150.0,150.0,540,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41791,TARQUI,CEREALES,MAIZ,MAIZ,2006,2006B,120.0,120.0,432,3.6,3.6,GRANO SECO,TRANSITORIO
41,HUILA,41676,SANTA MARIA,CEREALES,MAIZ,MAIZ,2006,2006B,117.0,117.0,413,3.53,3.53,GRANO SECO,TRANSITORIO
41,HUILA,41799,TELLO,CEREALES,MAIZ,MAIZ,2006,2006B,112.0,112.0,392,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4178,BARAYA,CEREALES,MAIZ,MAIZ,2006,2006B,100.0,100.0,348,3.48,3.48,GRANO SECO,TRANSITORIO
41,HUILA,41378,LA ARGENTINA,CEREALES,MAIZ,MAIZ,2006,2006B,100.0,100.0,320,3.2,3.2,GRANO SECO,TRANSITORIO
41,HUILA,4177,SUAZA,CEREALES,MAIZ,MAIZ,2006,2006B,95.0,95.0,332,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41319,GUADALUPE,CEREALES,MAIZ,MAIZ,2006,2006B,90.0,90.0,405,4.5,4.5,GRANO SECO,TRANSITORIO
41,HUILA,41801,TERUEL,CEREALES,MAIZ,MAIZ,2006,2006B,85.0,85.0,255,3.0,3.0,GRANO SECO,TRANSITORIO
41,HUILA,4126,ALTAMIRA,CEREALES,MAIZ,MAIZ,2006,2006B,80.0,80.0,280,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41548,PITAL,CEREALES,MAIZ,MAIZ,2006,2006B,80.0,80.0,280,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41132,CAMPOALEGRE,CEREALES,MAIZ,MAIZ,2006,2006B,75.0,75.0,262,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,4116,AIPE,CEREALES,MAIZ,MAIZ,2006,2006B,70.0,70.0,270,3.86,3.86,GRANO SECO,TRANSITORIO
41,HUILA,41615,RIVERA,CEREALES,MAIZ,MAIZ,2006,2006B,70.0,70.0,249,3.56,3.56,GRANO SECO,TRANSITORIO
41,HUILA,41797,TESALIA,CEREALES,MAIZ,MAIZ,2006,2006B,65.0,65.0,227,3.5,3.5,GRANO SECO,TRANSITORIO
41,HUILA,41359,ISNOS,CEREALES,MAIZ,MAIZ,2006,2006B,60.0,60.0,214,3.57,3.57,GRANO SECO,TRANSITORIO
41,HUILA,41518,PAICOL,CEREALES,MAIZ,MAIZ,2006,2006B,60.0,60.0,180,3.0,3.0,GRANO SECO,TRANSITORIO
41,HUILA,41244,ELIAS,CEREALES,MAIZ,MAIZ,2006,2006B,40.0,40.0,140,3.5,3.5,GRANO SECO,TRANSITORIO
