COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,AÑO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPEÑO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
68,SANTANDER,68575,PUERTO WILCHES,CEREALES,MAIZ,MAIZ,2006,2006B,400.0,380.0,1900,5.0,5.0,GRANO SECO,TRANSITORIO
68,SANTANDER,6881,BARRANCABERMEJA,CEREALES,MAIZ,MAIZ,2006,2006B,80.0,80.0,474,5.93,5.93,GRANO SECO,TRANSITORIO
68,SANTANDER,68684,SAN JOSE DE MIRANDA,CEREALES,MAIZ,MAIZ,2006,2006B,80.0,73.0,72,0.99,0.99,GRANO SECO,TRANSITORIO
68,SANTANDER,68755,SOCORRO,CEREALES,MAIZ,MAIZ,2006,2006B,77.0,65.0,228,3.51,3.51,GRANO SECO,TRANSITORIO
68,SANTANDER,6837,JORDAN,CEREALES,MAIZ,MAIZ,2006,2006B,65.0,65.0,130,2.0,2.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68533,PARAMO,CEREALES,MAIZ,MAIZ,2006,2006B,64.0,64.0,195,3.5,3.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68271,FLORIAN,CEREALES,MAIZ,MAIZ,2006,2006B,25.0,21.0,42,2.0,2.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68322,GUAPOTA,CEREALES,MAIZ,MAIZ,2006,2006B,25.0,25.0,25,1.0,1.0,GRANO SECO,TRANSITORIO
68,SANTANDER,6877,BARBOSA,CEREALES,MAIZ,MAIZ,2006,2006B,10.0,10.0,35,3.5,3.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68575,PUERTO WILCHES,CEREALES,MAIZ,MAIZ,2007,2007A,380.0,380.0,1824,4.8,4.8,GRANO SECO,TRANSITORIO
68,SANTANDER,68533,PARAMO,CEREALES,MAIZ,MAIZ,2007,2007A,110.0,100.0,300,3.0,3.0,GRANO SECO,TRANSITORIO
68,SANTANDER,6881,BARRANCABERMEJA,CEREALES,MAIZ,MAIZ,2007,2007A,80.0,73.0,429,5.89,5.89,GRANO SECO,TRANSITORIO
68,SANTANDER,68684,SAN JOSE DE MIRANDA,CEREALES,MAIZ,MAIZ,2007,2007A,70.0,63.0,61,0.98,0.98,GRANO SECO,TRANSITORIO
68,SANTANDER,68755,SOCORRO,CEREALES,MAIZ,MAIZ,2007,2007A,70.0,68.0,204,3.0,3.0,GRANO SECO,TRANSITORIO
68,SANTANDER,6837,JORDAN,CEREALES,MAIZ,MAIZ,2007,2007A,50.0,50.0,100,2.0,2.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68322,GUAPOTA,CEREALES,MAIZ,MAIZ,2007,2007A,30.0,30.0,30,1.0,1.0,GRANO SECO,TRANSITORIO
68,SANTANDER,6877,BARBOSA,CEREALES,MAIZ,MAIZ,2007,2007A,15.0,15.0,52,3.5,3.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68271,FLORIAN,CEREALES,MAIZ,MAIZ,2007,2007A,5.0,5.0,10,2.0,2.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68575,PUERTO WILCHES,CEREALES,MAIZ,MAIZ,2007,2007B,400.0,390.0,1872,4.8,4.8,GRANO SECO,TRANSITORIO
68,SANTANDER,68615,RIONEGRO,CEREALES,MAIZ,MAIZ,2007,2007B,300.0,250.0,1125,4.5,4.5,GRANO SECO,TRANSITORIO
68,SANTANDER,6881,BARRANCABERMEJA,CEREALES,MAIZ,MAIZ,2007,2007B,275.0,260.0,650,2.5,2.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68498,OCAMONTE,CEREALES,MAIZ,MAIZ,2007,2007B,250.0,200.0,560,2.8,2.8,GRANO SECO,TRANSITORIO
68,SANTANDER,68121,CABRERA,CEREALES,MAIZ,MAIZ,2007,2007B,120.0,120.0,264,2.2,2.2,GRANO SECO,TRANSITORIO
68,SANTANDER,68229,CURITI,CEREALES,MAIZ,MAIZ,2007,2007B,100.0,96.0,198,2.7,2.7,GRANO SECO,TRANSITORIO
68,SANTANDER,68524,PALMAS DEL SOCORRO,CEREALES,MAIZ,MAIZ,2007,2007B,80.0,80.0,360,4.5,4.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68655,SABANA DE TORRES,CEREALES,MAIZ,MAIZ,2007,2007B,70.0,63.0,221,3.51,3.51,GRANO SECO,TRANSITORIO
68,SANTANDER,68755,SOCORRO,CEREALES,MAIZ,MAIZ,2007,2007B,60.0,60.0,210,3.5,3.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68406,LEBRIJA,CEREALES,MAIZ,MAIZ,2007,2007B,50.0,50.0,175,3.5,3.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68872,VILLANUEVA,CEREALES,MAIZ,MAIZ,2007,2007B,40.0,40.0,120,3.0,3.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68549,PINCHOTE,CEREALES,MAIZ,MAIZ,2007,2007B,37.0,33.0,132,4.0,4.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68271,FLORIAN,CEREALES,MAIZ,MAIZ,2007,2007B,25.0,21.0,42,2.0,2.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68533,PARAMO,CEREALES,MAIZ,MAIZ,2007,2007B,25.0,25.0,145,5.8,5.8,GRANO SECO,TRANSITORIO
68,SANTANDER,68855,VALLE DE SAN JOSE,CEREALES,MAIZ,MAIZ,2007,2007B,25.0,25.0,125,5.0,5.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68296,GALAN,CEREALES,MAIZ,MAIZ,2007,2007B,20.0,16.0,48,3.0,3.0,GRANO SECO,TRANSITORIO
68,SANTANDER,6877,BARBOSA,CEREALES,MAIZ,MAIZ,2007,2007B,15.0,15.0,52,3.5,3.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68575,PUERTO WILCHES,CEREALES,MAIZ,MAIZ,2008,2008A,500.0,500.0,2500,5.0,5.0,GRANO SECO,TRANSITORIO
68,SANTANDER,68615,RIONEGRO,CEREALES,MAIZ,MAIZ,2008,2008A,280.0,280.0,1260,4.5,4.5,GRANO SECO,TRANSITORIO
68,SANTANDER,68655,SABANA DE TORRES,CEREALES,MAIZ,MAIZ,2008,2008A,270.0,256.0,896,3.5,3.5,GRANO SECO,TRANSITORIO
