COD. DEP.,DEPARTAMENTO,COD. MUN.,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO,CULTIVO,ANO,PERIODO,AREA SEMBRADA (ha),AREA COSECHADA (Ha),PRODUCCION (t),RENDIMIENTO (t/ha),DESEMPENO (Ha cos/Ha sem),ESTADO DEL CUTIVO,CICLO DE CULTIVO
76,VALLE DEL CAUCA,76497,OBANDO,CEREALES,MAIZ,MAIZ,2006,2006B,3.25,3.25,21,6.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76834,TULUA,CEREALES,MAIZ,MAIZ,2006,2006B,1.992,1.992,10,5.2,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76147,CARTAGO,CEREALES,MAIZ,MAIZ,2006,2006B,1.577,1.577,10,6.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76622,ROLDANILLO,CEREALES,MAIZ,MAIZ,2006,2006B,1.523,1.523,10,7.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76122,CAICEDONIA,CEREALES,MAIZ,MAIZ,2006,2006B,955.0,955.0,5730,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76823,TORO,CEREALES,MAIZ,MAIZ,2006,2006B,920.0,920.0,4784,5.2,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,CEREALES,MAIZ,MAIZ,2006,2006B,690.0,690.0,4140,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,764,LA UNION,CEREALES,MAIZ,MAIZ,2006,2006B,530.0,530.0,3180,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76111,BUGA,CEREALES,MAIZ,MAIZ,2006,2006B,527.0,527.0,3162,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,BOLIVAR,CEREALES,MAIZ,MAIZ,2006,2006B,460.0,442.0,2210,5.0,0.96,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76403,LA VICTORIA,CEREALES,MAIZ,MAIZ,2006,2006B,446.0,446.0,2007,4.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76828,TRUJILLO,CEREALES,MAIZ,MAIZ,2006,2006B,360.0,340.0,1360,4.0,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76736,SEVILLA,CEREALES,MAIZ,MAIZ,2006,2006B,351.0,351.0,2281,6.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7689,YOTOCO,CEREALES,MAIZ,MAIZ,2006,2006B,340.0,340.0,1870,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76306,GINEBRA,CEREALES,MAIZ,MAIZ,2006,2006B,320.0,320.0,1792,5.6,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7636,ANDALUCIA,CEREALES,MAIZ,MAIZ,2006,2006B,287.0,287.0,1793,6.25,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76248,EL CERRITO,CEREALES,MAIZ,MAIZ,2006,2006B,267.0,267.0,1521,5.7,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76895,ZARZAL,CEREALES,MAIZ,MAIZ,2006,2006B,252.0,252.0,756,3.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76318,GUACARI,CEREALES,MAIZ,MAIZ,2006,2006B,210.0,210.0,1050,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76892,YUMBO,CEREALES,MAIZ,MAIZ,2006,2006B,190.0,190.0,1140,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76364,JAMUNDI,CEREALES,MAIZ,MAIZ,2006,2006B,70.0,70.0,420,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76275,FLORIDA,CEREALES,MAIZ,MAIZ,2006,2006B,68.0,68.0,408,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76616,RIOFRIO,CEREALES,MAIZ,MAIZ,2006,2006B,62.0,62.0,322,5.2,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7667,SAN PEDRO,CEREALES,MAIZ,MAIZ,2006,2006B,55.0,55.0,302,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76563,PRADERA,CEREALES,MAIZ,MAIZ,2006,2006B,49.0,49.0,220,4.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,CALI,CEREALES,MAIZ,MAIZ,2006,2006B,47.0,47.0,282,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7613,CANDELARIA,CEREALES,MAIZ,MAIZ,2006,2006B,44.0,44.0,110,2.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7652,PALMIRA,CEREALES,MAIZ,MAIZ,2006,2006B,30.0,30.0,162,5.4,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76869,VIJES,CEREALES,MAIZ,MAIZ,2006,2006B,20.0,20.0,50,2.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76497,OBANDO,CEREALES,MAIZ,MAIZ,2007,2007A,2.15,2.15,15,7.2,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76147,CARTAGO,CEREALES,MAIZ,MAIZ,2007,2007A,1.549,1.549,7,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76622,ROLDANILLO,CEREALES,MAIZ,MAIZ,2007,2007A,1.4,1.38,9,7.0,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76122,CAICEDONIA,CEREALES,MAIZ,MAIZ,2007,2007A,1.106,1.106,6,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,CEREALES,MAIZ,MAIZ,2007,2007A,700.0,700.0,3500,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,BOLIVAR,CEREALES,MAIZ,MAIZ,2007,2007A,566.0,536.0,2680,5.0,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76111,BUGA,CEREALES,MAIZ,MAIZ,2007,2007A,516.0,516.0,3096,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,764,LA UNION,CEREALES,MAIZ,MAIZ,2007,2007A,500.0,500.0,3000,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76403,LA VICTORIA,CEREALES,MAIZ,MAIZ,2007,2007A,480.0,480.0,2160,4.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76828,TRUJILLO,CEREALES,MAIZ,MAIZ,2007,2007A,350.0,320.0,1280,4.0,0.91,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76834,TULUA,CEREALES,MAIZ,MAIZ,2007,2007A,315.0,300.0,1350,4.5,0.95,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7636,ANDALUCIA,CEREALES,MAIZ,MAIZ,2007,2007A,308.0,305.0,1982,6.5,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76318,GUACARI,CEREALES,MAIZ,MAIZ,2007,2007A,250.0,250.0,1250,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76895,ZARZAL,CEREALES,MAIZ,MAIZ,2007,2007A,250.0,250.0,875,3.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76823,TORO,CEREALES,MAIZ,MAIZ,2007,2007A,195.0,160.0,857,5.36,0.82,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76248,EL CERRITO,CEREALES,MAIZ,MAIZ,2007,2007A,160.0,160.0,768,4.8,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7652,PALMIRA,CEREALES,MAIZ,MAIZ,2007,2007A,143.0,143.0,643,4.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76306,GINEBRA,CEREALES,MAIZ,MAIZ,2007,2007A,100.0,100.0,550,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76616,RIOFRIO,CEREALES,MAIZ,MAIZ,2007,2007A,55.0,55.0,286,5.2,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7667,SAN PEDRO,CEREALES,MAIZ,MAIZ,2007,2007A,55.0,55.0,302,5.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7689,YOTOCO,CEREALES,MAIZ,MAIZ,2007,2007A,50.0,33.0,181,5.5,0.66,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7613,CANDELARIA,CEREALES,MAIZ,MAIZ,2007,2007A,46.0,46.0,201,4.38,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76563,PRADERA,CEREALES,MAIZ,MAIZ,2007,2007A,45.0,45.0,225,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76275,FLORIDA,CEREALES,MAIZ,MAIZ,2007,2007A,36.0,25.0,150,6.0,0.69,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76364,JAMUNDI,CEREALES,MAIZ,MAIZ,2007,2007A,35.0,35.0,210,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76892,YUMBO,CEREALES,MAIZ,MAIZ,2007,2007A,21.0,21.0,126,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76869,VIJES,CEREALES,MAIZ,MAIZ,2007,2007A,20.0,20.0,40,2.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,CALI,CEREALES,MAIZ,MAIZ,2007,2007A,15.0,12.0,36,3.0,0.8,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76736,SEVILLA,CEREALES,MAIZ,MAIZ,2007,2007A,10.0,10.0,65,6.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76497,OBANDO,CEREALES,MAIZ,MAIZ,2007,2007B,2.373,2.373,17,7.26,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76147,CARTAGO,CEREALES,MAIZ,MAIZ,2007,2007B,1.792,1.792,9,5.8,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76622,ROLDANILLO,CEREALES,MAIZ,MAIZ,2007,2007B,1.4,1.3,7,6.0,0.92,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76122,CAICEDONIA,CEREALES,MAIZ,MAIZ,2007,2007B,1.158,1.143,6,6.0,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,CEREALES,MAIZ,MAIZ,2007,2007B,637.0,629.0,3145,5.0,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76403,LA VICTORIA,CEREALES,MAIZ,MAIZ,2007,2007B,620.0,620.0,2858,4.61,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76111,BUGA,CEREALES,MAIZ,MAIZ,2007,2007B,545.0,505.0,2525,5.0,0.92,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76834,TULUA,CEREALES,MAIZ,MAIZ,2007,2007B,544.0,538.0,2797,5.2,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,BOLIVAR,CEREALES,MAIZ,MAIZ,2007,2007B,505.0,225.0,1125,5.0,0.44,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,764,LA UNION,CEREALES,MAIZ,MAIZ,2007,2007B,437.0,431.0,2542,5.9,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76828,TRUJILLO,CEREALES,MAIZ,MAIZ,2007,2007B,350.0,319.0,1595,5.0,0.91,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76895,ZARZAL,CEREALES,MAIZ,MAIZ,2007,2007B,252.0,252.0,882,3.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76318,GUACARI,CEREALES,MAIZ,MAIZ,2007,2007B,250.0,249.0,1249,5.2,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7636,ANDALUCIA,CEREALES,MAIZ,MAIZ,2007,2007B,205.0,193.0,1169,6.6,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76823,TORO,CEREALES,MAIZ,MAIZ,2007,2007B,204.0,202.0,1111,5.5,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76248,EL CERRITO,CEREALES,MAIZ,MAIZ,2007,2007B,177.0,175.0,1015,5.8,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76616,RIOFRIO,CEREALES,MAIZ,MAIZ,2007,2007B,175.0,170.0,552,3.25,0.97,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7652,PALMIRA,CEREALES,MAIZ,MAIZ,2007,2007B,159.0,158.0,709,4.49,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76892,YUMBO,CEREALES,MAIZ,MAIZ,2007,2007B,74.0,73.0,438,6.0,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76736,SEVILLA,CEREALES,MAIZ,MAIZ,2007,2007B,67.0,67.0,435,6.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7667,SAN PEDRO,CEREALES,MAIZ,MAIZ,2007,2007B,55.0,54.0,302,5.6,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7689,YOTOCO,CEREALES,MAIZ,MAIZ,2007,2007B,46.0,45.0,247,5.5,0.97,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76563,PRADERA,CEREALES,MAIZ,MAIZ,2007,2007B,45.0,44.0,198,4.5,0.97,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7613,CANDELARIA,CEREALES,MAIZ,MAIZ,2007,2007B,39.0,39.0,257,6.59,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76275,FLORIDA,CEREALES,MAIZ,MAIZ,2007,2007B,29.0,29.0,168,5.8,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76364,JAMUNDI,CEREALES,MAIZ,MAIZ,2007,2007B,27.0,27.0,162,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76869,VIJES,CEREALES,MAIZ,MAIZ,2007,2007B,18.0,18.0,43,2.39,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,CALI,CEREALES,MAIZ,MAIZ,2007,2007B,10.0,8.0,24,3.0,0.8,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76497,OBANDO,CEREALES,MAIZ,MAIZ,2008,2008A,2.61,2.61,17,6.6,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76622,ROLDANILLO,CEREALES,MAIZ,MAIZ,2008,2008A,1.6,1.6,11,7.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76122,CAICEDONIA,CEREALES,MAIZ,MAIZ,2008,2008A,1.98,1.98,6,6.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76147,CARTAGO,CEREALES,MAIZ,MAIZ,2008,2008A,874.0,862.0,7016,8.14,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76834,TULUA,CEREALES,MAIZ,MAIZ,2008,2008A,700.0,700.0,3500,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,CEREALES,MAIZ,MAIZ,2008,2008A,690.0,690.0,3450,5.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,761,BOLIVAR,CEREALES,MAIZ,MAIZ,2008,2008A,620.0,300.0,1500,5.0,0.48,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,764,LA UNION,CEREALES,MAIZ,MAIZ,2008,2008A,550.0,530.0,3148,5.94,0.96,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76403,LA VICTORIA,CEREALES,MAIZ,MAIZ,2008,2008A,512.0,509.0,2178,4.28,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76111,BUGA,CEREALES,MAIZ,MAIZ,2008,2008A,433.0,410.0,2050,5.0,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76828,TRUJILLO,CEREALES,MAIZ,MAIZ,2008,2008A,370.0,313.0,1252,4.0,0.84,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7636,ANDALUCIA,CEREALES,MAIZ,MAIZ,2008,2008A,296.0,279.0,1858,6.66,0.94,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76823,TORO,CEREALES,MAIZ,MAIZ,2008,2008A,280.0,190.0,741,3.9,0.67,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76248,EL CERRITO,CEREALES,MAIZ,MAIZ,2008,2008A,227.0,227.0,1318,5.81,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76318,GUACARI,CEREALES,MAIZ,MAIZ,2008,2008A,200.0,200.0,600,3.0,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,7652,PALMIRA,CEREALES,MAIZ,MAIZ,2008,2008A,175.0,173.0,778,4.5,0.98,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76895,ZARZAL,CEREALES,MAIZ,MAIZ,2008,2008A,130.0,130.0,455,3.5,1.0,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76306,GINEBRA,CEREALES,MAIZ,MAIZ,2008,2008A,122.0,121.0,665,5.5,0.99,GRANO SECO,TRANSITORIO
76,VALLE DEL CAUCA,76616,RIOFRIO,CEREALES,MAIZ,MAIZ,2008,2008A,85.0,85.0,510,6.0,1.0,GRANO SECO,TRANSITORIO
